"date","1951","1957","1958","1959","1962","1963","1964","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2017-01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,5,3,3,4,9,9,2,11,14,9,16,16,21,21,29,27,21,26,47,58,58,93,224,244,96,393,960,1369,956,394,609,5121,450,0
"2017-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,1,1,2,5,13,13,14,15,13,18,18,28,28,23,50,44,51,42,71,70,164,319,315,116,522,1201,2031,1357,600,575,4028,1862,0
"2017-03",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2,1,0,2,2,3,8,7,11,24,24,29,33,38,54,35,68,47,79,78,80,97,85,91,158,133,253,533,561,196,707,1536,2665,1905,915,749,4054,5034,0
"2017-04",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,4,1,4,8,7,6,18,27,34,34,32,44,50,51,66,57,96,72,81,95,89,95,127,145,234,516,663,196,719,1517,2420,1790,850,728,2704,6241,0
"2017-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,6,6,8,25,33,47,73,57,56,58,92,59,98,82,106,153,99,99,94,112,114,151,241,590,688,214,742,1611,2406,1827,1044,684,1923,6920,0
"2017-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,3,2,2,6,5,8,16,34,43,70,50,52,71,88,49,98,111,127,159,80,114,79,115,138,140,276,641,754,221,797,1469,2280,1908,1154,695,1616,7712,0
"2017-07",0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,2,2,3,6,4,2,7,19,32,44,66,53,63,97,71,83,99,94,134,140,102,96,86,109,128,149,223,551,635,185,868,1657,2257,2047,1197,761,1349,8031,0
"2017-08",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,0,6,0,2,3,12,12,35,51,78,56,73,80,118,58,104,92,111,160,90,109,63,88,115,141,208,568,689,178,852,1629,2133,1970,1240,957,1156,8578,0
"2017-09",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,3,0,2,1,1,7,6,13,22,49,59,60,61,68,75,47,92,96,101,113,82,84,60,87,106,121,237,604,608,184,889,1648,2136,2002,1372,1169,1001,9696,0
"2017-10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,3,3,1,7,1,16,23,24,21,37,24,52,35,47,49,60,57,65,55,64,61,69,104,191,450,477,188,975,1712,1974,1961,1419,1382,735,9263,0
"2017-11",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,2,1,1,4,3,4,10,16,14,25,26,25,23,32,33,34,39,42,50,42,44,52,63,86,119,177,395,448,179,1066,1776,2129,2257,1498,984,753,9423,0
"2017-12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,7,2,4,9,8,16,12,21,21,24,17,17,27,36,36,45,35,56,48,73,80,108,316,350,117,1049,1850,1977,2058,1470,1152,933,10606,0
"2018-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,7,10,6,7,16,14,19,8,19,19,33,37,37,33,36,45,60,76,100,294,299,127,763,1374,1424,1674,1234,980,723,7687,336
"2018-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,2,1,9,8,17,10,13,15,22,11,14,27,25,39,44,33,46,46,60,102,137,345,333,170,848,1501,1640,1949,1509,1312,899,5778,1463
